Statistical profiling result from isolate-con-v8.log, (2432 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^Readable node:internal/streams/readable:181:18
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:357:35
      1    0.0%    0.0%  Function: ^<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25

 [C++]:
   ticks  total  nonlib   name
    810   33.3%   34.6%  t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
    588   24.2%   25.1%  T ___bsdthread_terminate
    291   12.0%   12.4%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    194    8.0%    8.3%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
     78    3.2%    3.3%  t _mach_error_string_int
     77    3.2%    3.3%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
     31    1.3%    1.3%  T _thread_destruct_special_reply_port
     23    0.9%    1.0%  T ___pthread_init
     20    0.8%    0.9%  T _mach_port_get_attributes
     18    0.7%    0.8%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     16    0.7%    0.7%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.5%    0.6%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.4%    0.4%  T _mach_vm_read_overwrite
      7    0.3%    0.3%  T ___thread_selfid
      5    0.2%    0.2%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      5    0.2%    0.2%  t node::EnvQuery(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Integer> const&)
      5    0.2%    0.2%  t __simple_asl_escape_val
      4    0.2%    0.2%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.2%    0.2%  t __simple_asl_connect_once
      4    0.2%    0.2%  T _vm_copy
      3    0.1%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  T _mach_vm_copy
      2    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T _pwrite
      2    0.1%    0.1%  T _kpersona_info
      2    0.1%    0.1%  T _kdebug_is_enabled
      1    0.0%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t std::__1::__tree<int, std::__1::less<int>, std::__1::allocator<int> >::destroy(std::__1::__tree_node<int, void*>*)
      1    0.0%    0.0%  t std::__1::__shared_ptr_pointer<char*, std::__1::default_delete<char []>, std::__1::allocator<char> >::__on_zero_shared_weak()
      1    0.0%    0.0%  t std::__1::__hash_table<unsigned long, std::__1::hash<unsigned long>, std::__1::equal_to<unsigned long>, std::__1::allocator<unsigned long> >::remove(std::__1::__hash_const_iterator<std::__1::__hash_node<unsigned long, void*>*>)
      1    0.0%    0.0%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::AsyncHooks::pop_async_context(double)
      1    0.0%    0.0%  T node::loader::ModuleWrap::SetSyntheticExport(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::InternalCallbackScope::Close()
      1    0.0%    0.0%  T node::ConnectionWrap<node::TCPWrap, uv_tcp_s>::OnConnection(uv_stream_s*, int)
      1    0.0%    0.0%  T _task_info
      1    0.0%    0.0%  T _read$NOCANCEL
      1    0.0%    0.0%  T _mach_vm_purgable_control
      1    0.0%    0.0%  T _mach_msg_destroy
      1    0.0%    0.0%  T __simple_asl_send
      1    0.0%    0.0%  T ___bsdthread_ctl

 [Summary]:
   ticks  total  nonlib   name
     87    3.6%    3.7%  JavaScript
   2239   92.1%   95.7%  C++
    229    9.4%    9.8%  GC
     92    3.8%          Shared libraries
     14    0.6%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    608   32.0%   25.0%  t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
    588   30.9%   24.2%  T ___bsdthread_terminate
    291   15.3%   12.0%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    194   10.2%    8.0%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
     77    4.0%    3.2%  t node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
     22    1.2%    0.9%  T ___pthread_init
     21    1.1%    0.9%  T _thread_destruct_special_reply_port
     18    0.9%    0.7%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     16    0.8%    0.7%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.7%    0.5%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.5%    0.4%  T _mach_vm_read_overwrite
      5    0.3%    0.2%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      5    0.3%    0.2%  t node::EnvQuery(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Integer> const&)
      4    0.2%    0.2%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.2%    0.2%  t __simple_asl_escape_val
      3    0.2%    0.1%  t __simple_asl_connect_once
      3    0.2%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.2%    0.1%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.2%    0.1%  T _vm_copy
      2    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T ___thread_selfid
      1    0.1%    0.0%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  t std::__1::__tree<int, std::__1::less<int>, std::__1::allocator<int> >::destroy(std::__1::__tree_node<int, void*>*)
      1    0.1%    0.0%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  t node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  T node::loader::ModuleWrap::SetSyntheticExport(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  T _task_info
      1    0.1%    0.0%  T __simple_asl_send

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    810   33.3%  t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
     42    5.2%    t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
      7   16.7%      t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
      5   71.4%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      4   80.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2   50.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2   50.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1   20.0%          Function: ^tryPackage node:internal/modules/cjs/loader:338:20
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1   14.3%        Function: ^stat node:internal/modules/cjs/loader:151:14
      1  100.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   14.3%        Function: ^compileFunction node:vm:308:25
      1  100.0%          LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
      3    7.1%      LazyCompile: *realpathSync node:fs:2408:22
      3  100.0%        Function: ^toRealPath node:internal/modules/cjs/loader:393:20
      2   66.7%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      2  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1   33.3%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    4.8%      LazyCompile: ~checkServer /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/sdam/monitor.js:138:21
      1   50.0%        LazyCompile: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/sdam/monitor.js:222:12
      1  100.0%          LazyCompile: ~executeAndReschedule /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/utils.js:786:34
      1  100.0%            LazyCompile: ~listOnTimeout node:internal/timers:505:25
      1   50.0%        Function: ^<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/sdam/monitor.js:222:12
      1  100.0%          Function: ^executeAndReschedule /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/utils.js:786:34
      1  100.0%            LazyCompile: ~listOnTimeout node:internal/timers:505:25
      2    4.8%      LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%        Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2    4.8%      Function: ^toString /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/uid-safe/index.js:102:19
      2  100.0%        Function: ^uidSync /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/uid-safe/index.js:75:18
      2  100.0%          Function: ^generateSessionId /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express-session/index.js:518:27
      2  100.0%            Function: ^store.generate /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express-session/index.js:158:28
      2    4.8%      Function: ^readPackage node:internal/modules/cjs/loader:290:21
      2  100.0%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    4.8%      Function: ^format /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/content-type/index.js:65:17
      2  100.0%        Function: ^setCharset /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/utils.js:250:41
      2  100.0%          Function: ^send /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:107:25
      2  100.0%            LazyCompile: *<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25
      2    4.8%      Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1   50.0%            Function: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/semver/functions/lte.js:1:1
      1   50.0%            Function: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongoose/lib/helpers/populate/getModelsMapForPopulate.js:1:1
      2    4.8%      Function: ^<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25
      2  100.0%        Function: ^handle /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/layer.js:86:49
      2  100.0%          Function: ^next /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/route.js:114:16
      2  100.0%            Function: ^dispatch /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/route.js:98:45
      1    2.4%      LazyCompile: ~parseOptions /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/connection_string.js:208:22
